tech,BER Target,input_preFEC_BER,n,t,rate,energy,p_correctable
NanGate45,1e-30,9.999999999999999e-31,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.1622776601683794e-30,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,1e-29,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.162277660168379e-29,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,1.0000000000000001e-28,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.162277660168379e-28,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,1e-27,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.1622776601683794e-27,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,9.999999999999999e-27,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.162277660168379e-26,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,1e-25,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.1622776601683796e-25,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,1e-24,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.1622776601683795e-24,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,1e-23,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.1622776601683793e-23,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,9.999999999999999e-23,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.1622776601683793e-22,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,1e-21,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,3.1622776601683792e-21,514,1,0.9961089494163424,0.14215628730468752,0.0
NanGate45,1e-30,1.0000000000000001e-20,514,1,0.9961089494163424,0.14215628730468752,0.0
